Gender,Age,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Last_login,Member_since,Number_of_Comments_in_public_forum,Number_of_offline_meetings_attended,Profile_pictures,Risk,Days,Total_chat_time,Friends
female,43.9,Non_Verified,bisexual,Dominant,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,47.7,Non_Verified,Heterosexual,Dominant,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,38.3,Non_Verified,Heterosexual,Switch,,before_744_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,41.6,Non_Verified,bicurious,Submisive,Men_and_Women,before_253_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,34.3,Non_Verified,Heterosexual,Switch,Women,before_8_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,50.0,Non_Verified,Heterosexual,Submisive,Nobody,before_1694_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,27.0,Non_Verified,Heterosexual,Submisive,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,31.1,Non_Verified,bisexual,Dominant,Women,before_71_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,26.2,Non_Verified,Heterosexual,Switch,Men,before_123_days,2012-06-09,96,0.0,0.0,unknown_risk,00,0 days 01:56:00.000000000,7.0
male,43.2,Non_Verified,Heterosexual,Dominant,Nobody,before_1696_days,2012-06-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,33.1,Non_Verified,Heterosexual,Switch,Nobody,before_1283_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,29.5,Non_Verified,bicurious,Switch,Nobody,before_1472_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,53.3,Non_Verified,Heterosexual,Switch,Nobody,before_617_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:02:00.000000000,
female,44.5,Non_Verified,bisexual,Submisive,Nobody,before_1396_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,42.3,Non_Verified,Heterosexual,Dominant,Nobody,before_1695_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
female,28.0,Non_Verified,bicurious,Switch,Nobody,before_1695_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,37.1,Non_Verified,Heterosexual,Dominant,Nobody,before_1695_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,38.9,Non_Verified,Heterosexual,Switch,Nobody,before_1695_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 01:54:00.000000000,
male,28.8,Non_Verified,bicurious,Submisive,Nobody,before_1695_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
male,42.4,Non_Verified,Heterosexual,Switch,Women,before_1059_days,2012-07-09,0,0.0,0.0,unknown_risk,00,0 days 00:00:00.000000000,
